day,average_speed
1,1.0
2,1.0101797470795637
3,1.0213350204369465
4,1.0170914721059015
5,1.0492699851645242
6,1.0575436566402285
7,1.061072167753928
8,1.059243935726225
9,1.0692323944379047
10,1.090357563000667
11,1.0771953028724714
12,1.0975418118311575
13,1.10427167043282
14,1.099503020184751
15,1.1159418172315068
16,1.1222833568360264
17,1.1182191925201377
18,1.1350784815737087
19,1.1231074116897395
20,1.1393220388058902
21,1.1353906465532342
22,1.0904063525928034
23,1.1037463104280112
24,1.124300619179808
25,1.1324687010154317
26,1.1134884082142409
27,1.1215484917224592
28,1.12564090952093
29,1.1555718738009289
30,1.1649249773030521
31,1.1801825290914372
32,1.1856163003784692
33,1.2160256268475116
34,1.1770745295949838
35,1.1756807297088976
36,1.1783875469304665
37,1.2003781103344198
38,1.2001388882652901
39,1.2301479712963188
40,1.2189162982970556
41,1.2177274343325297
42,1.1958485187540528
43,1.1600245050127183
44,1.0955561679237555
45,1.0619459634493504
46,1.1463725756414618
47,1.2174548773339655
48,1.1963924465820779
49,1.2481019808657696
50,1.198079967390857
51,1.1909602922488967
52,1.1777588639506238
53,1.241311373041114
54,1.1929063019758164
55,1.2409892577504926
56,1.1861668898771167
57,1.233700118881302
58,1.235997189758938
59,1.271226107810807
60,1.2728222028632412
61,1.2637317535108703
62,1.2692904992421978
63,1.2787499003502927
64,1.254154546499997
65,1.2129421412702304
66,1.2213618954487206
67,1.2269952904499413
68,1.220725969167159
69,1.207345955887852
70,1.1547865914155002
71,1.159858118291936
72,1.1185894057801056
73,1.137966048172622
74,1.1580243587747656
75,1.1742483535213835
76,1.1948024678210378
77,1.1934603213503256
78,1.1708132818102641
79,1.1785831647511797
80,1.1776841753170024
81,1.1668023805694796
82,1.1604282369516856
83,1.1588570237853784
84,1.193964081936648
85,1.2195474704715057
86,1.227147549705827
87,1.2326306117011097
88,1.2348022297634618
89,1.26406601506358
90,1.2652370986617798
91,1.3139884078792818
92,1.337159598434977
93,1.3492628381058072
94,1.369742253876456
95,1.4193126639187823
96,1.3843662689739542
97,1.3504753571741317
98,1.3476997510830215
99,1.4122929256788674
100,1.4980296026357676
101,1.540256732514834
102,1.5562761362938864
103,1.5783067360819663
104,1.572204747725455
105,1.548194138690302
106,1.5812739782981011
107,1.5553826502206065
108,1.5012178613982186
109,1.42412251164902
110,1.4470056736038117
111,1.3828737576656147
112,1.3461420221141283
113,1.3882275427172721
114,1.3758294646364033
115,1.3993971972566548
116,1.4641278203680097
117,1.4146102750808887
118,1.4312993569225827
119,1.4292179168729244
120,1.4102734106671475
121,1.4261900811072115
122,1.4953712872263367
123,1.4365814265706776
124,1.4370553070125982
125,1.4093601304192058
126,1.4604318860453327
127,1.4447562838396817
128,1.4112302471674747
129,1.3937200245924404
130,1.370054814889561
131,1.3650573667697452
132,1.4020310072443718
133,1.3977613655073082
134,1.3929392480462366
135,1.4150456883193558
136,1.4298017338545412
137,1.44309108497531
138,1.4633175725316976
139,1.4599080850565134
140,1.463235222770568
141,1.4847674332516472
142,1.4811062201704808
143,1.4998009642602588
144,1.5257450590979704
145,1.5094686425130446
146,1.5844279376517831
147,1.6046214851371745
148,1.5672275107943918
149,1.5426884437733326
150,1.542564557112942
151,1.5402524846359358
152,1.520380198732255
153,1.5520192134988107
154,1.5364021720787726
155,1.5049630502408566
156,1.5444221000962748
157,1.567350609874341
158,1.5844947253536925
159,1.5916868694852297
160,1.5932176552880437
161,1.5652369628284792
162,1.6102745967216598
163,1.641853232295929
164,1.6764447291842903
165,1.6343868764203633
166,1.6356894062692489
167,1.5983633571482128
168,1.5672740780088092
169,1.5539701736839489
170,1.572464859798423
171,1.5862334414722783
172,1.6258425120750597
173,1.6101231628025439
174,1.5752979618213214
175,1.5843975135364985
176,1.5634843042697522
177,1.5454493728715233
178,1.5414469955823387
179,1.5616531242383003
180,1.6022390601389978
181,1.6169190641366418
182,1.647050273325623
183,1.7041318531398302
184,1.7288508646335168
185,1.7059064930396848
186,1.71599961824091
187,1.7180178912254525
188,1.705245485411776
189,1.7206145108504691
